Date,Price,Open,High,Low,Chg%
08-Nov-21,"65,027","64,798","65,183","64,500",0.83%
05-Nov-21,"64,494","63,721","64,690","63,486",0.30%
04-Nov-21,"64,298","63,000","64,400","63,000",2.55%
03-Nov-21,"62,697","63,500","63,660","62,280",-1.22%
02-Nov-21,"63,474","64,800","64,988","63,354",-2.27%
01-Nov-21,"64,947","64,848","65,193","64,413",0.37%
29-Oct-21,"64,707","65,051","65,051","64,221",-0.60%
28-Oct-21,"65,098","65,070","65,489","64,864",-0.35%
27-Oct-21,"65,327","65,299","65,670","64,715",0.25%
26-Oct-21,"65,161","66,199","66,299","64,810",-1.65%
25-Oct-21,"66,254","65,990","66,525","65,850",0.71%
22-Oct-21,"65,786","65,450","66,825","65,270",0.90%
21-Oct-21,"65,198","65,710","66,100","65,106",-0.74%
20-Oct-21,"65,685","64,597","65,850","64,501",1.69%
19-Oct-21,"64,594","63,650","65,316","63,527",1.81%
18-Oct-21,"63,448","63,587","63,799","63,040",0.01%
15-Oct-21,"63,443","63,690","63,690","62,863",-0.42%
14-Oct-21,"63,709","62,798","63,987","62,700",1.02%
13-Oct-21,"63,064","62,060","63,350","61,963",1.99%
12-Oct-21,"61,834","61,899","62,347","61,460",-0.20%
11-Oct-21,"61,956","62,057","62,417","61,612",-0.09%
08-Oct-21,"62,009","61,400","62,880","61,155",0.84%
07-Oct-21,"61,494","61,215","61,821","60,906",0.46%
06-Oct-21,"61,211","61,000","61,300","60,556",0.03%
05-Oct-21,"61,194","61,043","61,320","60,750",0.03%
04-Oct-21,"61,173","60,785","61,395","60,341",0.66%
01-Oct-21,"60,772","59,898","60,850","59,580",1.52%
30-Sep-21,"59,861","58,774","60,050","58,410",2.04%
29-Sep-21,"58,662","60,727","60,886","58,500",-3.35%
28-Sep-21,"60,694","60,717","60,848","59,760",-0.32%
27-Sep-21,"60,889","60,589","61,357","60,405",1.08%
24-Sep-21,"60,241","60,999","61,100","59,600",-1.26%
23-Sep-21,"61,009","61,100","61,245","60,601",-0.64%
22-Sep-21,"61,400","60,905","61,589","60,817",1.21%
21-Sep-21,"60,665","59,915","61,048","59,710",1.31%
20-Sep-21,"59,882","60,140","60,499","59,475",-0.70%
17-Sep-21,"60,303","61,399","61,930","60,194",-1.69%
16-Sep-21,"61,340","63,701","63,877","60,800",-3.50%
15-Sep-21,"63,564","63,725","63,833","63,290",-0.41%
14-Sep-21,"63,825","63,474","63,889","62,902",0.41%
13-Sep-21,"63,562","63,835","63,835","62,792",-0.47%
10-Sep-21,"63,862","64,200","64,450","63,751",-0.83%
09-Sep-21,"64,397","64,288","64,820","63,921",-0.06%
08-Sep-21,"64,437","64,844","65,148","64,180",-0.63%
07-Sep-21,"64,844","65,400","65,499","64,467",-0.95%
06-Sep-21,"65,468","65,500","65,660","65,221",0.17%
03-Sep-21,"65,357","63,645","65,782","63,506",2.84%
02-Sep-21,"63,553","64,050","64,308","63,281",-0.82%
01-Sep-21,"64,076","63,541","64,320","63,105",2.06%
31-Aug-21,"62,783","63,031","63,998","62,516",-0.89%
30-Aug-21,"63,349","63,522","63,950","63,008",0.09%
27-Aug-21,"63,295","63,499","63,550","62,051",1.13%
26-Aug-21,"62,588","63,199","63,220","62,457",-0.45%
25-Aug-21,"62,868","62,500","63,390","62,500",-0.94%
24-Aug-21,"63,467","63,097","63,775","62,923",0.51%
23-Aug-21,"63,146","62,410","63,292","62,111",1.80%
20-Aug-21,"62,028","62,504","62,610","61,552",-0.67%
19-Aug-21,"62,444","62,890","63,110","62,390",-0.51%
18-Aug-21,"62,764","63,552","63,820","62,505",-1.17%
17-Aug-21,"63,504","63,800","64,132","63,277",-0.34%
16-Aug-21,"63,718","63,519","63,795","62,748",0.31%
13-Aug-21,"63,522","62,427","63,787","62,293",2.14%
12-Aug-21,"62,190","62,862","62,996","61,748",-1.41%
11-Aug-21,"63,082","62,949","63,187","62,635",0.21%
10-Aug-21,"62,949","63,300","63,549","62,516",-0.03%
09-Aug-21,"62,967","64,600","64,900","62,542",-3.58%
06-Aug-21,"65,303","67,100","67,219","65,001",-2.89%
05-Aug-21,"67,243","67,619","67,949","66,910",-0.82%
04-Aug-21,"67,800","68,235","68,994","67,570",-0.46%
03-Aug-21,"68,114","67,820","68,223","67,526",0.03%
02-Aug-21,"68,092","68,144","68,350","67,757",0.04%
30-Jul-21,"68,067","68,344","68,395","67,817",-0.49%
29-Jul-21,"68,400","66,999","68,590","66,999",2.63%
28-Jul-21,"66,650","66,499","66,934","66,311",0.50%
27-Jul-21,"66,320","67,201","67,483","66,004",-1.55%
26-Jul-21,"67,365","67,400","67,770","67,225",0.14%
23-Jul-21,"67,269","67,400","67,771","66,930",-0.48%
22-Jul-21,"67,591","67,425","67,745","66,871",0.31%
21-Jul-21,"67,379","67,000","67,432","66,795",0.74%
20-Jul-21,"66,883","67,584","67,775","66,605",-0.95%
19-Jul-21,"67,524","68,400","68,400","67,320",-1.50%
16-Jul-21,"68,553","69,965","70,024","68,360",-1.79%
15-Jul-21,"69,806","69,595","69,970","69,550",0.36%
14-Jul-21,"69,557","69,253","70,079","69,162",0.43%
13-Jul-21,"69,258","69,550","69,777","69,080",-0.38%
12-Jul-21,"69,521","69,277","69,690","68,860",0.12%
09-Jul-21,"69,437","69,097","69,550","68,652",0.43%
08-Jul-21,"69,141","69,350","69,792","68,828",-0.53%
07-Jul-21,"69,509","69,800","70,238","69,311",-0.16%
06-Jul-21,"69,623","70,280","70,977","69,400",-0.69%
05-Jul-21,"70,108","70,422","70,641","69,939",-0.17%
02-Jul-21,"70,229","69,350","70,397","69,350",1.41%
01-Jul-21,"69,252","69,299","70,088","68,800",1.91%
30-Jun-21,"67,955","67,430","68,039","67,300",0.94%
29-Jun-21,"67,320","67,916","68,200","66,981",-1.41%
28-Jun-21,"68,282","68,202","68,640","67,942",0.34%
25-Jun-21,"68,050","67,900","68,579","67,850",0.54%
24-Jun-21,"67,686","67,700","68,200","67,201",-0.59%
23-Jun-21,"68,086","67,900","68,600","67,680",0.61%
